Quote,Author
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
“There is no friend as loyal as a book.”,Ernest Hemingway
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger
“′Classic′ - a book which people praise and don't read.”,Mark Twain
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle
